__source_file,instance,algo,algo_seed,time_limit_sec,init_heuristic,fix_policy,strong_margin,max_fix_per_round,restarts,perturb_y,ablation,UB,runtime_sec,stop_reason
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,myciel3,iterlp2_full,1,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,full,4,1.7411962673068049,stalled_at_K_eq_ceil_zLP
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,myciel3,iterlp2_full,2,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,full,4,1.775933876633644,stalled_at_K_eq_ceil_zLP
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,myciel4,dsatur,0,10,,,,,,,baseline,5,0.00059175491333,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,myciel4,dsatur,1,10,,,,,,,baseline,5,0.0004011243581771,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,myciel4,dsatur,2,10,,,,,,,baseline,5,0.0003993138670921,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,myciel4,slo,0,10,,,,,,,baseline,5,0.0003320947289466,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,myciel4,slo,1,10,,,,,,,baseline,5,0.0002828165888786,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,myciel4,slo,2,10,,,,,,,baseline,5,0.0002908334136009,baseline
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,myciel4,iterlp2_full,0,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,full,5,10.289728000760078,time_limit
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,myciel4,iterlp2_full,1,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,full,5,10.207233421504498,time_limit
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_merged/merged_schema_74a81e418f_cols26_files72.csv,myciel4,iterlp2_full,2,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,full,5,10.219344578683376,time_limit
